iter	Passed	Remaining
402	13808	54721
403	13843	54687
404	13893	54717
405	13966	54832
406	14027	54904
407	14073	54914
408	14117	54914
409	14153	54887
410	14188	54856
411	14226	54834
412	14261	54802
413	14296	54769
414	14333	54742
415	14365	54699
416	14399	54662
417	14432	54621
418	14464	54577
419	14496	54535
420	14530	54497
421	14563	54458
422	14601	54434
423	14646	54442
424	14680	54404
425	14715	54371
426	14753	54348
427	14786	54307
428	14819	54268
429	14850	54223
430	14883	54182
431	14916	54140
432	14948	54096
433	14978	54048
434	15013	54013
435	15044	53965
436	15076	53922
437	15108	53879
438	15139	53834
439	15174	53800
440	15204	53751
441	15235	53704
442	15266	53655
443	15297	53609
444	15329	53566
445	15360	53521
446	15394	53483
447	15426	53441
448	15457	53395
449	15489	53353
450	15523	53318
451	15563	53301
452	15595	53260
453	15628	53221
454	15661	53178
455	15690	53126
456	15727	53100
457	15757	53052
458	15790	53013
459	15821	52966
460	15853	52924
461	15886	52885
462	15917	52841
463	15956	52821
464	15991	52789
465	16024	52749
466	16054	52701
467	16084	52653
468	16124	52635
469	16177	52663
470	16286	52871
471	16346	52918
472	16387	52904
473	16443	52939
474	16480	52912
475	16516	52881
476	16551	52846
477	16594	52838
478	16640	52840
479	16690	52853
480	16739	52863
481	16789	52875
482	16828	52855
483	16873	52852
484	16928	52880
485	16968	52860
486	17019	52874
487	17072	52896
488	17116	52888
489	17167	52904
490	17218	52918
491	17277	52956
492	17331	52977
493	17381	52988
494	17420	52964
495	17457	52936
496	17498	52918
497	17538	52896
498	17598	52937
499	17640	52921
500	17686	52919
501	17725	52893
502	17765	52872
503	17799	52833
504	17836	52802
505	17870	52764
506	17906	52730
507	17942	52698
508	17975	52654
509	18019	52645
510	18075	52670
511	18131	52695
512	18175	52684
513	18207	52638
514	18257	52646
515	18292	52609
516	18332	52587
517	18374	52569
518	18401	52509
519	18438	52477
520	18474	52444
521	18509	52408
522	18546	52377
523	18581	52340
524	18614	52297
525	18650	52263
526	18688	52236
527	18724	52202
528	18759	52164
529	18796	52133
530	18833	52103
531	18869	52069
532	18908	52043
533	18945	52011
534	18990	52002
535	19032	51983
536	19069	51953
537	19109	51930
538	19152	51915
539	19184	51868
540	19219	51831
541	19254	51795
542	19289	51758
543	19330	51737
544	19385	51753
545	19429	51740
546	19467	51710
547	19504	51679
548	19541	51648
549	19585	51634
550	19630	51622
551	19670	51600
552	19711	51578
553	19747	51544
554	19780	51500
555	19817	51468
556	19850	51425
557	19883	51384
558	19919	51348
559	19955	51314
560	19994	51286
561	20037	51270
562	20068	51222
563	20104	51187
564	20138	51148
565	20173	51110
566	20207	51070
567	20242	51034
568	20278	50999
569	20316	50969
570	20352	50935
571	20392	50909
572	20431	50881
573	20476	50869
574	20528	50875
575	20568	50849
576	20611	50831
577	20654	50813
578	20691	50781
579	20730	50753
580	20776	50742
581	20818	50723
582	20858	50696
583	20901	50678
584	20942	50655
585	20989	50646
586	21030	50624
587	21068	50592
588	21104	50558
589	21140	50522
590	21175	50484
591	21213	50452
592	21271	50470
593	21314	50450
594	21350	50417
595	21386	50381
596	21419	50337
597	21455	50301
598	21492	50268
599	21523	50222
600	21556	50179
601	21594	50148
602	21627	50105
603	21667	50079
604	21710	50060
605	21748	50029
606	21788	50001
607	21820	49957
608	21861	49932
609	21902	49910
610	21940	49878
611	21983	49858
